site-name,lab-id,sample-ref,bp,error,human,marine,d13C,d15N,C/N,marine-fraction,cal-start-2s,cal-end-2s,segments-2s,cal-start-1s,cal-end-1s,segments-1s
howe,GU-2351,SF 3094,1850,50,no,no,,,,,65AD,324AD,66AD (85.1%) 258AD; 280AD (10.4%) 332AD,130AD,244AD,126AD (68.3%) 240AD
howe,GU-2353,SF 5726,1770,50,no,no,,,,,156AD,401AD,166AD ( 1.8%) 187AD; 202AD (93.7%) 412AD,238AD,354AD,232AD (19.0%) 266AD; 272AD (49.2%) 352AD
howe,GU-2355,SF 6458; SF 6385,1930,120,no,no,,,,,288BC,371AD,340BC ( 0.7%) 324BC; 200BC (94.6%) 384AD; 397AD ( 0.1%) 400AD,64BC,228AD,48BC (68.3%) 240AD
howe,SUERC-25599,SF 4546,1925,40,yes,no,-19.9,,,0.129,22AD,304AD,20AD (93.2%) 255AD; 290AD ( 2.3%) 316AD,90AD,218AD,85AD ( 3.9%) 94AD; 116AD (64.4%) 231AD
howe,SUERC-68727,SF 3454,1901,29,yes,no,-20.3,12.1,3.2,,49AD,216AD,62AD (95.4%) 222AD,94AD,193AD,86AD ( 4.1%) 92AD; 118AD (64.1%) 204AD
howe,SUERC-68731,SF 5445,1946,25,yes,no,-20.6,11.3,3.3,,3BC,178AD,30BC ( 1.2%) 17BC; 6AD (91.0%) 132AD; 140AD ( 2.2%) 160AD; 190AD ( 1.0%) 200AD,38AD,114AD,30AD ( 8.0%) 40AD; 60AD (60.3%) 120AD
howe,SUERC-68732,SF 4546,2052,26,yes,no,-20.9,10.8,3.2,,149BC,22AD,152BC ( 5.3%) 129BC; 122BC (90.2%) 22AD,96BC,4BC,98BC (22.6%) 70BC; 58BC (24.7%) 32BC; 18BC (21.0%) 8AD
knowe of skea,SUERC-8400,,2065,35,yes,,-19.0,12.5,3.1,0.235,103BC,182AD,99BC ( 3.4%) 66BC; 60BC (90.9%) 179AD; 185AD ( 1.1%) 200AD,28BC,104AD,38BC (14.9%) 8BC; 2BC (47.4%) 82AD; 98AD ( 5.9%) 110AD
knowe of skea,SUERC-8401,,1950,35,yes,,-19.2,13.0,3.4,0.212,31AD,302AD,24AD (94.0%) 255AD; 294AD ( 1.5%) 310AD,97AD,219AD,119AD (68.3%) 231AD
knowe of skea,SUERC-8402,,2060,35,yes,,-18.0,12.2,3.2,0.353,38BC,220AD,41BC (95.4%) 219AD,24AD,168AD,20AD (68.3%) 162AD
knowe of skea,SUERC-8403,,1665,35,yes,,-20.9,9.1,3.5,,264AD,526AD,256AD ( 9.4%) 282AD; 328AD (72.8%) 440AD; 452AD ( 4.8%) 479AD; 495AD ( 8.4%) 535AD,348AD,441AD,264AD ( 4.6%) 272AD; 350AD (63.7%) 426AD
knowe of skea,SUERC-8406,,2130,35,yes,,-20.7,11.0,3.4,,342BC,53BC,350BC (14.3%) 292BC; 209BC (81.2%) 46BC,254BC,89BC,334BC ( 1.5%) 330BC; 197BC (62.4%) 100BC; 68BC ( 4.3%) 60BC
knowe of skea,SUERC-8410,,2095,35,yes,,-19.0,13.0,3.3,0.235,150BC,126AD,152BC (95.4%) 124AD,74BC,66AD,54BC (68.3%) 75AD
knowe of skea,SUERC-8411,,1915,35,yes,,-21.1,11.2,3.4,,24AD,213AD,24AD (95.4%) 214AD,72AD,185AD,72AD (59.0%) 168AD; 186AD ( 9.2%) 202AD
knowe of skea,SUERC-8896,,1875,35,yes,,-18.9,13.1,3.3,0.247,135AD,394AD,131AD (95.4%) 393AD,212AD,336AD,213AD (28.7%) 266AD; 272AD (39.6%) 341AD
knowe of skea,SUERC-27910,,2030,30,yes,,-18.5,10.7,3.2,0.294,28BC,221AD,36BC ( 3.3%) 12BC; 2AD (92.1%) 224AD,38AD,176AD,28AD (68.3%) 166AD
knowe of skea,SUERC-27911,,2085,30,yes,,-18.7,11.7,3.2,0.271,108BC,160AD,106BC (95.4%) 164AD,33BC,92AD,42BC (68.3%) 80AD
knowe of skea,SUERC-27912,,2010,30,yes,,-18.3,11.2,3.2,0.318,10AD,242AD,14AD (95.4%) 245AD,74AD,200AD,81AD (68.3%) 210AD
knowe of skea,SUERC-27913,,1905,30,yes,,-19.3,11.1,3.3,0.2,88AD,334AD,81AD ( 2.1%) 98AD; 110AD (93.4%) 340AD,146AD,286AD,130AD (68.3%) 249AD
knowe of skea,SUERC-27914,,2025,30,yes,,-18.3,11.2,3.2,0.318,18BC,231AD,26BC ( 1.0%) 16BC; 6AD (94.5%) 238AD,54AD,189AD,68AD (68.3%) 201AD
knowe of skea,SUERC-27918,,2050,30,yes,,-18.4,11.4,3.3,0.306,37BC,210AD,40BC (95.4%) 210AD,22AD,154AD,13AD (64.1%) 134AD; 140AD ( 4.2%) 152AD
knowe of skea,SUERC-27919,,1960,30,yes,,-19.3,10.9,3.1,0.2,26AD,245AD,24AD (95.4%) 244AD,86AD,205AD,84AD ( 5.8%) 96AD; 113AD (62.5%) 214AD
knowe of skea,SUERC-27920,,1905,30,yes,,-19.6,11.0,3.6,0.165,78AD,322AD,76AD (86.4%) 261AD; 279AD ( 9.1%) 328AD,136AD,244AD,130AD (68.3%) 239AD
knowe of skea,SUERC-27921,,2000,30,yes,,-19.0,11.6,3.3,0.235,20BC,226AD,27BC ( 1.2%) 16BC; 6AD (94.3%) 234AD,50AD,186AD,64AD (60.8%) 176AD; 185AD ( 7.5%) 202AD
knowe of skea,SUERC-27922,,2070,30,yes,,-18.4,12.6,3.6,0.306,60BC,197AD,48BC (95.4%) 202AD,7BC,122AD,24BC ( 3.1%) 16BC; 5AD (65.1%) 122AD
knowe of skea,SUERC-27923,,2070,30,yes,,-18.6,12.5,3.5,0.282,80BC,190AD,53BC (95.4%) 202AD,16BC,112AD,28BC ( 6.0%) 15BC; 4AD (49.9%) 88AD; 92AD (12.4%) 116AD
knowe of skea,SUERC-35303,,2100,30,yes,,-18.9,12.6,3..2,0.247,146BC,118AD,149BC ( 2.0%) 131BC; 122BC (93.4%) 122AD,68BC,62AD,54BC (68.3%) 70AD
knowe of skea,SUERC-35304,,2060,30,yes,,-18.3,12.9,3.2,0.318,41BC,206AD,41BC (95.4%) 206AD,14AD,146AD,6AD (68.3%) 134AD
knowe of skea,SUERC-35305,,2180,30,yes,,-17.9,13.7,3.2,0.365,189BC,80AD,195BC (95.4%) 80AD,129BC,12AD,142BC ( 1.5%) 138BC; 120BC (66.7%) 18AD
knowe of skea,SUERC-35306,,2140,30,yes,,-19.8,12.3,3.2,0.141,332BC,17AD,346BC ( 3.8%) 316BC; 204BC (91.6%) 22AD,166BC,47BC,166BC (68.3%) 46BC
knowe of skea,SUERC-35307,,2220,30,yes,,-18.3,12.5,3.2,0.318,336BC,4AD,348BC ( 7.5%) 288BC; 229BC (88.0%) 10AD,193BC,60BC,177BC (68.3%) 50BC
knowe of skea,SUERC-35308,,2125,30,yes,,-19.1,14.2,3.3,0.224,176BC,81AD,176BC (95.4%) 81AD,120BC,16AD,112BC (68.3%) 23AD
knowe of skea,SUERC-35309,,1815,30,yes,,-21.7,10.9,3.2,,137AD,326AD,130AD ( 3.1%) 146AD; 152AD (64.3%) 258AD; 280AD (28.0%) 330AD,202AD,304AD,209AD (48.6%) 252AD; 292AD (19.7%) 318AD
knowe of skea,SUERC-35313,,1945,30,yes,,-19.9,11.4,3.2,0.129,16AD,235AD,20AD (95.4%) 240AD,77AD,198AD,80AD ( 9.6%) 100AD; 108AD (58.7%) 210AD
knowe of skea,SUERC-35314,,1950,30,yes,,-19.9,12.1,3.3,0.129,9AD,232AD,18AD (95.4%) 238AD,71AD,196AD,80AD (11.3%) 101AD; 106AD (57.0%) 207AD
knowe of skea,SUERC-35315,,1950,30,yes,,-18.3,15.3,3.2,0.318,82AD,335AD,80AD (95.4%) 338AD,142AD,275AD,130AD (68.3%) 248AD
knowe of skea,SUERC-35316,,2680,30,yes,,-20.4,10.3,3.2,,900BC,801BC,900BC (95.4%) 800BC,884BC,812BC,894BC (17.2%) 876BC; 836BC (51.1%) 804BC
knowe of skea,SUERC-42223,,1878,37,yes,,-20.5,13.8,3.2,,66AD,238AD,70AD (95.4%) 240AD,120AD,209AD,125AD (68.3%) 212AD
knowe of skea,SUERC-42227,,1858,37,yes,,-19.9,13.3,3.2,0.129,111AD,372AD,120AD (95.4%) 374AD,167AD,314AD,162AD (10.1%) 191AD; 200AD (34.1%) 259AD; 280AD (24.1%) 329AD
knowe of skea,SUERC-42228,,2003,37,yes,,-20.0,13.5,3.4,,92BC,112AD,94BC ( 2.5%) 75BC; 55BC (92.9%) 120AD,34BC,64AD,42BC (53.7%) 32AD; 38AD (14.6%) 60AD
knowe of skea,SUERC-42229,,1892,37,yes,,-20.6,13.8,3.3,,40AD,230AD,34AD ( 0.4%) 37AD; 61AD (95.0%) 236AD,95AD,200AD,88AD ( 1.5%) 91AD; 120AD (66.8%) 210AD
knowe of skea,SUERC-42230,,2077,37,yes,,-19.7,14.0,3.2,0.153,162BC,116AD,162BC (95.4%) 118AD,90BC,54AD,94BC ( 7.7%) 72BC; 56BC (60.6%) 64AD
knowe of skea,SUERC-42231,,2028,37,yes,,-19.6,13.5,3.3,0.165,86BC,196AD,88BC ( 0.5%) 82BC; 54BC (95.0%) 206AD,18BC,116AD,32BC ( 8.0%) 14BC; 4AD (60.3%) 118AD
knowe of skea,SUERC-42232,,2094,37,yes,,-18.8,14.5,3.3,0.259,144BC,152AD,157BC (95.4%) 134AD,55BC,80AD,50BC (68.3%) 80AD
knowe of skea,SUERC-42233,,1854,37,yes,,-19.7,14.1,3.4,0.153,127AD,384AD,124AD (95.4%) 380AD,186AD,325AD,204AD (33.3%) 264AD; 274AD (35.0%) 342AD
lingro,SUERC-23662,,2025,35,yes,no,-19.4,,,0.188,52BC,202AD,46BC (95.4%) 204AD,2BC,130AD,28BC ( 4.4%) 16BC; 6AD (63.9%) 124AD
near stromness,GrA-24015,,1585,40,yes,no,,,,,416AD,570AD,414AD (95.4%) 567AD,440AD,536AD,433AD (68.3%) 538AD
near stromness,GrA-24198,,1620,40,yes,no,,,,,355AD,547AD,364AD (95.4%) 553AD,418AD,522AD,414AD (20.7%) 440AD; 450AD (19.2%) 478AD; 495AD (28.3%) 534AD
newark bay,TO-6933,,1170,50,yes,no,-20.31,10.27,3.33,,709AD,985AD,706AD ( 3.9%) 736AD; 771AD (91.6%) 992AD,790AD,944AD,774AD ( 8.8%) 792AD; 801AD ( 4.0%) 812AD; 818AD (40.5%) 897AD; 921AD (14.9%) 954AD
newark bay,TO-6942,,1180,30,yes,no,-20.2,,,,773AD,960AD,771AD (82.7%) 900AD; 917AD (12.8%) 972AD,792AD,896AD,775AD (12.1%) 790AD; 820AD (56.2%) 891AD
newark bay,TO-7174,,1190,40,yes,no,-19.95,10.92,3.36,0.124,722AD,1010AD,772AD (95.4%) 1022AD,818AD,968AD,778AD ( 2.3%) 784AD; 832AD ( 8.2%) 854AD; 872AD (57.7%) 989AD
newark bay,TO-7176,,1460,40,yes,no,-19.8,,,0.141,558AD,762AD,552AD (89.7%) 708AD; 738AD ( 5.8%) 772AD,599AD,674AD,594AD (68.3%) 670AD
newark bay,TO-7180,,1380,30,yes,no,-19.6,9.85,3.32,0.165,646AD,844AD,640AD (95.3%) 834AD; 860AD ( 0.2%) 862AD,671AD,768AD,659AD (36.2%) 708AD; 728AD (32.1%) 772AD
newark bay,TO-7189,,1130,50,yes,no,-19.38,11.03,3.27,0.191,818AD,1148AD,776AD ( 0.8%) 785AD; 830AD ( 1.9%) 855AD; 872AD (92.8%) 1158AD,909AD,1064AD,894AD (16.3%) 933AD; 938AD (52.0%) 1037AD
newark bay,TO-7191,,1340,60,yes,no,-17.87,12.05,3.31,0.368,680AD,997AD,678AD (95.4%) 992AD,741AD,935AD,710AD ( 3.9%) 725AD; 731AD ( 1.3%) 736AD; 772AD (53.1%) 904AD; 918AD (10.0%) 952AD
newark bay,TO-7193,,1200,40,yes,no,-19.07,10.37,3.26,0.227,778AD,1030AD,774AD ( 3.3%) 792AD; 800AD (92.1%) 1030AD,858AD,988AD,882AD (66.5%) 996AD; 1008AD ( 1.8%) 1012AD
pierowall quarry,GU-1580,,2510,80,no,no,-20,,,,800BC,418BC,798BC (95.4%) 416BC,748BC,498BC,786BC (68.3%) 542BC
pierowall quarry,GU-1581,,2425,60,no,no,-20,,,,756BC,404BC,758BC (20.4%) 678BC; 672BC (75.0%) 398BC,706BC,444BC,742BC (14.6%) 692BC; 664BC ( 5.3%) 646BC; 549BC (48.4%) 406BC
pool,GU-1806,,975,50,no,no,-21.9,,,,992AD,1196AD,990AD (93.7%) 1179AD; 1190AD ( 1.8%) 1206AD,1029AD,1144AD,1022AD (19.0%) 1052AD; 1078AD (49.3%) 1155AD
pool,GU-1807,,1105,70,no,no,-21.7,,,,732AD,1109AD,706AD ( 1.2%) 728AD; 771AD (92.7%) 1046AD; 1084AD ( 0.5%) 1094AD; 1103AD ( 1.1%) 1122AD,838AD,998AD,778AD ( 1.3%) 782AD; 880AD (67.0%) 1022AD
pool,GU-1808,,930,50,no,no,-22.1,,,,1024AD,1216AD,1026AD (95.4%) 1216AD,1054AD,1174AD,1040AD (68.3%) 1162AD
pool,GU-1809,,1330,55,no,no,-22.8,,,,614AD,846AD,604AD (90.5%) 778AD; 788AD ( 5.0%) 825AD,660AD,765AD,650AD (41.3%) 706AD; 736AD (26.9%) 772AD
pool,GU-1810,,1270,50,no,no,-27.5,,,,664AD,878AD,660AD (67.2%) 778AD; 784AD (28.2%) 878AD,690AD,822AD,670AD (62.5%) 774AD; 792AD ( 3.5%) 800AD; 812AD ( 2.3%) 818AD
pool,GU-1997,,1345,50,no,no,-22.0,,,,609AD,806AD,602AD (95.4%) 776AD,652AD,757AD,646AD (45.1%) 702AD; 740AD (23.2%) 772AD
pool,GU-1998,,1505,50,no,no,-22.4,,,,436AD,642AD,434AD (21.6%) 519AD; 526AD (73.9%) 646AD,486AD,611AD,484AD ( 2.0%) 489AD; 537AD (55.4%) 611AD; 616AD (10.8%) 640AD
pool,GU-1999,,1520,50,no,no,-21.9,,,,432AD,637AD,431AD (95.4%) 640AD,468AD,596AD,440AD ( 8.6%) 460AD; 478AD ( 8.4%) 496AD; 534AD (51.2%) 604AD
pool,GU-2000,,1480,50,no,no,-22.3,,,,446AD,648AD,436AD ( 3.8%) 464AD; 475AD ( 3.9%) 500AD; 509AD ( 0.6%) 516AD; 530AD (87.1%) 657AD,546AD,630AD,560AD (68.3%) 640AD
pool,GU-2001,,1320,55,no,no,-19.2,,,,622AD,858AD,607AD ( 1.7%) 624AD; 636AD (84.9%) 778AD; 786AD ( 7.0%) 830AD; 854AD ( 1.8%) 874AD,666AD,769AD,654AD (38.5%) 706AD; 730AD (29.8%) 772AD
pool,GU-2002,,1250,50,no,no,-26.9,,,,670AD,898AD,665AD (95.4%) 885AD,700AD,848AD,678AD (38.9%) 748AD; 758AD ( 7.7%) 775AD; 787AD (20.8%) 828AD; 864AD ( 1.0%) 866AD
pool,GU-2003,,1185,50,no,no,-21.8,,,,698AD,976AD,690AD ( 0.8%) 696AD; 702AD ( 7.7%) 741AD; 771AD (87.0%) 987AD,780AD,930AD,774AD (62.7%) 893AD; 929AD ( 5.5%) 944AD
pool,GU-2004,,1270,55,no,no,-27.7,,,,662AD,885AD,658AD (95.4%) 882AD,690AD,830AD,669AD (58.5%) 774AD; 791AD ( 5.2%) 804AD; 809AD ( 4.5%) 820AD
pool,GU-2005,,1090,50,no,no,-22.0,,,,787AD,1030AD,774AD ( 2.0%) 787AD; 828AD ( 3.6%) 860AD; 870AD (89.9%) 1033AD,896AD,999AD,893AD (25.5%) 930AD; 942AD (37.3%) 995AD; 1006AD ( 5.5%) 1016AD
pool,GU-2006,,1160,50,no,no,-21.9,,,,716AD,989AD,707AD ( 1.9%) 724AD; 771AD (93.5%) 994AD,799AD,952AD,776AD ( 6.3%) 788AD; 824AD (36.0%) 900AD; 917AD (25.9%) 973AD
pool,GU-2241,,1160,50,no,no,-25.6,,,,716AD,989AD,707AD ( 1.9%) 724AD; 771AD (93.5%) 994AD,799AD,952AD,776AD ( 6.3%) 788AD; 824AD (36.0%) 900AD; 917AD (25.9%) 973AD
pool,GU-2243,,1610,110,no,no,-20.0,,,,214AD,635AD,238AD (95.4%) 646AD,324AD,556AD,266AD ( 1.4%) 272AD; 352AD (66.9%) 570AD
pool,GU-2244,,1530,120,no,no,-19.2,,,,260AD,750AD,247AD (94.0%) 686AD; 743AD ( 1.5%) 771AD,401AD,620AD,422AD (61.7%) 612AD; 616AD ( 6.6%) 640AD
pool,SUERC-73735,PL2110,1570,33,no,no,,,,,425AD,572AD,422AD (95.4%) 568AD,446AD,542AD,435AD (24.2%) 465AD; 474AD (30.2%) 516AD; 530AD (13.9%) 547AD
quanterness,Q-1463,8134,2130,60,no,no,,,,,354BC,2AD,362BC (93.2%) 35BC; 15BC ( 2.2%) 5AD,310BC,72BC,344BC ( 9.4%) 318BC; 203BC (58.8%) 52BC
quanterness,Q-1464,8272,2440,85,no,no,,,,,775BC,384BC,780BC (95.4%) 393BC,716BC,448BC,749BC (17.2%) 686BC; 666BC ( 7.2%) 640BC; 569BC (43.9%) 410BC
