site-name,lab-id,sample-ref,bp,error,human,marine,d13C,d15N,C/N,marine-fraction,cal-start-2s,cal-end-2s,segments-2s,cal-start-1s,cal-end-1s,segments-1s
st boniface,GU-3063,1035,1570,90,no,no,,,,,269AD,638AD,258AD ( 2.4%) 280AD; 332AD (93.1%) 649AD,404AD,576AD,416AD (68.3%) 587AD
st boniface,GU-3064,1034,1700,50,no,yes,,,,1.0,587AD,930AD,580AD (95.4%) 925AD,668AD,834AD,660AD (68.3%) 825AD
st boniface,GU-3065,1034,1370,90,no,no,,,,,484AD,874AD,443AD ( 0.2%) 448AD; 480AD ( 0.7%) 494AD; 536AD (94.6%) 886AD,602AD,768AD,594AD (49.7%) 708AD; 723AD (18.5%) 772AD
st boniface,GU-3066,1045,1330,50,no,yes,,,,1.0,948AD,1282AD,960AD (95.4%) 1290AD,1042AD,1212AD,1042AD (68.3%) 1212AD
st boniface,GU-3067,1045,920,60,no,no,,,,,1016AD,1242AD,998AD ( 0.5%) 1002AD; 1019AD (94.0%) 1229AD; 1246AD ( 0.9%) 1255AD,1054AD,1192AD,1040AD (68.3%) 1175AD
st boniface,GU-3069,1030,1270,70,no,yes,,,,1.0,986AD,1361AD,990AD (95.4%) 1366AD,1078AD,1268AD,1086AD (68.3%) 1275AD
st boniface,GU-3268,1100,2740,50,no,yes,,,,1.0,712BC,265BC,728BC (95.4%) 286BC,608BC,386BC,588BC (68.3%) 370BC
st boniface,GU-3271,2145,2850,50,no,yes,,,,1.0,788BC,404BC,786BC (95.4%) 404BC,716BC,499BC,736BC (68.3%) 524BC
st boniface,GU-3273,2181,2790,50,no,yes,,,,1.0,744BC,352BC,752BC (95.4%) 361BC,664BC,435BC,654BC (68.3%) 425BC
st boniface,GU-3274,2050,2570,50,no,yes,,,,1.0,463BC,50BC,454BC (95.4%) 42BC,353BC,156BC,364BC (68.3%) 168BC
st boniface,GU-3275,1091,2490,50,no,yes,,,,1.0,358BC,48AD,366BC (95.4%) 36AD,279BC,57BC,270BC (68.3%) 48BC
st boniface,GU-3277,2029,2350,50,no,yes,,,,1.0,194BC,218AD,188BC (95.4%) 224AD,90BC,119AD,88BC (68.3%) 122AD
st boniface,GU-3278,2137,2330,50,no,yes,,,,1.0,168BC,238AD,164BC (95.4%) 241AD,64BC,144AD,62BC (68.3%) 148AD
st boniface,GU-3279,2013,2340,50,no,yes,,,,1.0,180BC,228AD,176BC (95.4%) 233AD,78BC,131AD,77BC (68.3%) 132AD
st boniface,GU-3280,2097,2430,50,no,yes,,,,1.0,314BC,122AD,322BC (95.4%) 114AD,194BC,18AD,190BC (68.3%) 24AD
st boniface,GU-3282,2004,2250,50,no,yes,,,,1.0,68BC,340AD,61BC (95.4%) 346AD,37AD,236AD,40AD (68.3%) 238AD
tofts ness,GU-2183,TN86 SF3048,2990,100,no,no,-24.9,,,,1446BC,940BC,1442BC (93.7%) 968BC; 960BC ( 1.8%) 931BC,1356BC,1068BC,1386BC (10.3%) 1339BC; 1316BC (52.9%) 1108BC; 1095BC ( 2.7%) 1081BC; 1068BC ( 2.3%) 1056BC
tofts ness,GU-2207,TN86 575,2510,140,no,no,-22.0,,,,955BC,262BC,976BC ( 0.6%) 952BC; 935BC (93.1%) 353BC; 285BC ( 1.7%) 228BC,782BC,455BC,794BC (67.2%) 476BC; 432BC ( 1.1%) 426BC
tofts ness,GU-2208,TN86 700,2470,50,no,no,-21.4,,,,766BC,420BC,770BC (89.5%) 452BC; 446BC ( 6.0%) 416BC,722BC,487BC,756BC (24.5%) 680BC; 670BC (19.6%) 606BC; 597BC (24.2%) 516BC
tofts ness,GU-2544,TN86 752,2470,50,no,no,-27.9,,,,766BC,420BC,770BC (89.5%) 452BC; 446BC ( 6.0%) 416BC,722BC,487BC,756BC (24.5%) 680BC; 670BC (19.6%) 606BC; 597BC (24.2%) 516BC
warebeth,GU-2385,,1720,50,no,no,-23.1,,,,238AD,461AD,229AD (95.4%) 430AD,268AD,394AD,255AD (18.5%) 285AD; 325AD (49.8%) 406AD
westness,T-6527,,1360,70,yes,no,-20.84,11.0,3.26,,572AD,850AD,563AD (90.2%) 778AD; 786AD ( 4.6%) 828AD; 859AD ( 0.7%) 870AD,622AD,760AD,606AD ( 9.7%) 628AD; 634AD (41.0%) 704AD; 738AD (17.6%) 772AD
westness,T-6528,,1400,60,yes,no,-20.46,11.01,3.26,,552AD,768AD,549AD (86.0%) 707AD; 729AD ( 9.5%) 774AD,599AD,684AD,590AD (68.3%) 673AD
westness,T-6529,,1530,60,yes,no,-21.0,10.41,3.51,,420AD,638AD,421AD (95.4%) 640AD,456AD,592AD,436AD (13.0%) 464AD; 475AD (11.8%) 500AD; 508AD ( 2.9%) 516AD; 530AD (40.6%) 601AD
westness,T-6530,,920,50,yes,no,-20.63,11.74,3.63,,1029AD,1222AD,1027AD (95.4%) 1220AD,1058AD,1184AD,1041AD (37.9%) 1108AD; 1114AD (30.4%) 1170AD
westness,T-6532,,1190,50,yes,no,-20.7,11.8,3.4,,694AD,974AD,684AD (11.2%) 744AD; 770AD (84.2%) 980AD,776AD,924AD,774AD (63.8%) 893AD; 930AD ( 4.5%) 942AD
westness,T-6813,,1320,80,yes,no,-22.7,,,,593AD,899AD,586AD (95.4%) 889AD,657AD,814AD,644AD (62.7%) 774AD; 792AD ( 3.1%) 803AD; 810AD ( 2.5%) 820AD
westness,T-6814,,1270,60,yes,no,-18.1,13.7,3.3,0.341,710AD,1046AD,690AD ( 4.5%) 746AD; 758AD (90.9%) 1040AD,807AD,980AD,830AD (68.3%) 992AD
westness,T-6815,,1240,70,yes,no,-18.2,14.8,3.4,0.329,716AD,1124AD,704AD ( 2.8%) 742AD; 770AD (92.6%) 1130AD,826AD,1009AD,834AD ( 6.5%) 858AD; 866AD (61.8%) 1022AD
westness,T-6816,,1180,70,yes,no,-22.7,,,,685AD,994AD,678AD (14.0%) 750AD; 757AD (81.4%) 994AD,754AD,944AD,774AD (50.9%) 900AD; 918AD (17.4%) 972AD
westness,T-6817,,1330,120,yes,no,-20.76,10.37,3.52,,466AD,969AD,440AD ( 0.4%) 450AD; 478AD ( 0.8%) 495AD; 534AD (94.2%) 990AD,614AD,852AD,602AD (54.3%) 776AD; 786AD (10.2%) 830AD; 854AD ( 3.7%) 872AD
westness,T-7464,,1220,40,yes,no,-19.3,,,0.2,724AD,1012AD,772AD (95.4%) 1022AD,820AD,968AD,779AD ( 1.2%) 782AD; 833AD ( 8.4%) 854AD; 871AD (58.7%) 988AD
westness,T-7465,,1430,40,yes,no,-19.1,,,0.224,606AD,828AD,598AD (91.1%) 779AD; 786AD ( 4.4%) 824AD,652AD,761AD,645AD (42.7%) 709AD; 726AD (25.6%) 772AD
westness,T-7466,,1400,40,yes,no,-20.55,10.88,3.24,,583AD,750AD,575AD (94.4%) 678AD; 750AD ( 1.0%) 758AD,610AD,658AD,606AD (28.0%) 628AD; 635AD (40.3%) 660AD
westness,T-7467,,1160,50,yes,no,-19.7,,,0.153,776AD,1093AD,772AD (94.7%) 1049AD; 1085AD ( 0.4%) 1092AD; 1106AD ( 0.4%) 1115AD,859AD,1001AD,885AD (68.3%) 1020AD
westness,T-7468,,1410,30,yes,no,-20.93,11.47,3.28,,594AD,662AD,596AD (95.4%) 664AD,610AD,651AD,606AD (30.9%) 625AD; 636AD (37.4%) 655AD
westness,T-7469,,1330,70,yes,no,-21.3,,,,600AD,872AD,599AD (81.6%) 778AD; 784AD ( 9.7%) 838AD; 844AD ( 4.1%) 878AD,654AD,786AD,647AD (68.3%) 773AD
westness,T-7470,,1410,60,yes,no,-21.1,10.83,3.35,,542AD,764AD,544AD (89.0%) 705AD; 737AD ( 6.4%) 774AD,591AD,668AD,590AD (68.3%) 666AD
westness,T-7471,,1480,40,yes,no,-21.0,11.26,3.46,,478AD,646AD,482AD ( 1.0%) 492AD; 536AD (94.5%) 654AD,562AD,629AD,563AD (49.9%) 610AD; 618AD (18.4%) 639AD
westness,TO-7194,,1200,40,yes,no,-19.4,,,0.188,772AD,1020AD,774AD (95.4%) 1022AD,838AD,978AD,779AD ( 0.8%) 782AD; 838AD ( 2.6%) 846AD; 875AD (64.8%) 994AD
westness,TO-7195,,1600,70,yes,no,-21.0,11.0,3.3,,270AD,599AD,258AD ( 2.6%) 280AD; 332AD (92.8%) 603AD,398AD,543AD,410AD (68.3%) 553AD
westness,TO-7196,,1540,40,yes,no,-19.9,,,0.129,439AD,650AD,434AD (17.6%) 520AD; 526AD (77.9%) 654AD,498AD,625AD,545AD (68.3%) 640AD
westness,TO-7198,,1200,40,yes,no,-19.6,,,0.165,732AD,1014AD,772AD (95.4%) 1020AD,827AD,972AD,779AD ( 1.1%) 782AD; 836AD ( 4.7%) 848AD; 874AD (62.4%) 991AD
westness,TO-7532,,1300,30,yes,no,-20.7,11.8,3.4,,662AD,789AD,660AD (95.4%) 774AD,678AD,762AD,668AD (33.7%) 702AD; 740AD (34.6%) 772AD
